,50,55,60,65,70,75,80,85,90,95
10,11.53184165,14.62994836,13.76936317,14.8020654,13.76936317,13.59724613,14.11359725,11.70395869,13.25301205,12.56454389
,9.05707196,12.15880893,11.70388751,11.20760959,12.24152192,10.83540116,13.68899917,8.395368073,11.37303557,12.03473945
11,14.8020654,10.32702238,16.69535284,9.982788296,12.04819277,17.90017212,12.56454389,13.25301205,11.53184165,13.76936317
,12.24152192,9.346567411,15.46732837,9.346567411,9.594706369,14.92969396,11.41439206,10.71133168,9.925558313,11.1662531
12,24.7848537,10.84337349,11.87607573,12.39242685,15.14629948,11.70395869,13.76936317,13.08089501,12.04819277,12.39242685
,24.6898263,8.643507031,9.511993383,11.41439206,12.11745244,8.560794045,12.11745244,11.53846154,8.684863524,9.05707196
13,11.53184165,12.73666093,24.7848537,12.39242685,13.59724613,14.62994836,11.70395869,13.42512909,14.28571429,12.90877797
,10.13234078,10.09098428,24.64846981,9.594706369,10.25641026,12.03473945,9.966914806,11.53846154,10.38047974,11.62117452
14,17.383821,10.84337349,9.982788296,14.8020654,13.25301205,10.84337349,13.76936317,16.69535284,17.55593804,8.605851979
,16.41852771,9.88420182,10.42183623,11.20760959,11.57981803,8.602150538,11.49710505,17.0388751,16.4598842,9.346567411
15,12.39242685,17.21170396,12.22030981,13.08089501,15.49053356,12.56454389,12.39242685,12.22030981,15.49053356,13.25301205
,12.69644334,16.12903226,11.1662531,11.37303557,15.09511993,10.50454921,10.42183623,9.842845327,11.37303557,10.17369727
